sku,weight (kg),length (cm),width (cm),height (cm)
P11052-421,21,,64.8,46.25
P03633-B21,,,43.46,4.29
P06477-B21,,,43.46,4.32
P04647-B21,18.2,,110.39000000000001,4.29
P04923-421,6.5,,23,23.5
P20249-B21,14.7870992,,17.5,3.44
835265-031,30,,21.9,46.4
P07203-421,6.5,,23,23.5
826684-B21,14.8,,44.5,9
878970-B21,,,17.1,1.69
879514-B21,13.0180904,,17.5,3.44
JL001A,20.5,,44.45,30.73
JL386A,4.4,,44.25,4.39
JL384A,3.31,,44.25,4.39
JL073A,,,17.4,1.7
JL357A,,,17.4,1.7
JL325A,0.1497,,,
JL319A,4.45,,44.25,4.39
J9565A,1.66,,,
JC103B,8.5,,44,4.36
JH234A,,1,,
SMV1000CAI,13.6,,,
SMV1500CAI,20.75,,27.2,33.9
SRV1KIL,26.7,470,525,355
MXNG2B/A,1.3,,19.7,3.6
MWPE2B/A,,2,71.8,41.2
MY3C2B/A,0.643,,21.490000000000002,28.060000000000002
ADS3000NZU1,4.45,,38.2,33
ADS2400NZU1,4.45,,38.2,33
TD2020XX1,1.32,1,11,17.2
RJ4230BZ1,0.85,3,15.3,6.8
TD4410DZU1,0.0020800000000000003,,,
HLL5200DWZU1,13,127,48.5,37.7
MFCL8690CDWZU1,60,,,
PJ773Z1,0.48,,25.5,3
DCPL5500DNZU1,19.7,,54.5,64.1
0972C008,9.6,,46.3,29
C11CD68301A0,146,,105,82
C11CF12301A1,61.4,,73,60.5
C31CD54012CD,15,120,40,42.5
P04560-B21,,,,0.7
700139-B21,0.001,,1.5,0.1
WDBVXC0060HWT-EESN,1.11,,5.3,17.55
WDS100T2B0B,,,0.9,0.1
WDBJRT0040BBK-WESN,,,8.15,2.1
WDBKVX0010PSL-WESN,,,4.5,9
WDBVBZ0060JCH-EESN,,,9.91,17.14
STEA2000400,0.26,,10.3,14
E10G18-T1,,,6.81,8.6
RT2600AC,,,28,7.7
AGPAP001,13,121,106,121
AUV128-32G-RBE,0.01,,2,1
AT-AR4050S-50,1.7,,,
AT-MMC6005-60,0.2,,5.08,2.0300000000000002
AT-MMC200/LC-960,0.17,1310,5.6,2.18
AT-QSFP3CU,,3,,
AP9631,0.34,,23.5,5.1
AP4421,3.93,,60,11.4
CAT6PNL-24,0.42,,48.3,4.3
M3SR-EC,0.08,,3.3,2.3
AP9878,0.36,2,10.2,30.5
NBPD0150,1.82,,,
PM5U-UK,0.83,1.83,40.5,5.8
RBC32,5.33,,,
SMX120BP,65.5,,58.6,33
MN932B/A,0.138,,6.709999999999999,13.830000000000002
90LMF1301T02201C-,2.6,,49.5,42.1
90SF0071-M00360,,,44,8.8
90IG01V0-BU3100,,,5.4,4
90LJ0080-B01520,0.88,,11,2.9
90SF0091-M00580,16.5,,44.4,4.4
UC232B-AT,1.26,1.2,31.5,17.8
US424,0.24,,6.65,2.5300000000000002
IC164,0.05,,6.2,2.68
CS1914-AT-E,2.46,,9.8,21
UE2120H,9.68,39,30.5,33.5
2L-5201U,14.6,45,33,24
2L-5202UP,10.8,45,33,24
KE8950,1.1,,16.29,4.18
US424-AT,4.52,38.9,32.8,33
CL3100NX,9.07,,47.7,48.06
2L-2705,,4.8,,
EA1240,1.6,23,42,19
IC485SN-AT,0.06,,7.45,5.4
VC810-AT,0.4,39,38,27
VC080-AT,0.33,32.5,5.9,16
VM3404H,5.6245408,,,
VM3909H,7.33,,,
01436-001,1.30180904,0.0614,4.17,9.76
0540-001,0.5,,18,18
01230-001,0.23,,13.5,4
5026-202,0.45,,,
RMCARD205,0.25,,16.8,5.8
95P4450,,820,,
0533-001,,0.27999999999999997,,
0319-002,0.318,,11.8,3.3
0878-002,0.442,,20.2,3.1
01594-001,,0.89,,4.1
F2CD000b06-E,,6,,
HDMI0017-2M,,2,,
F4U097VF,0.422,,20,2.6
9H.F5STC.DE1,,,148.85999999999999,93.85
1079C007,0.147,30,9.959999999999999,5.8
9370A001,,1.5,,
3884C008AA,0.17,,7.83,2.37
0608C008,32,,72.3,28.5
97001268,0.09,175,106.7,
4202A002,,6,1.3,
3252010,,,5.08,2.5
3530055,,300,5.5,
TD1130-BK-65,0.13,640,6.5,
DELL-13H6D,11,,57,34
470-AAVK,,0.5,,
